interval_start_millions,interval_end_millions,method,method_label,average_return,n_seeds
0.0,200.0,adam,Adam,2055.596544847615,3
0.0,200.0,cbplrrN,CBP,1963.1552370783738,3
0.0,200.0,cprVL,CPR,2284.5521042996515,2
0.0,200.0,redo,ReDo,1952.921555334351,3
0.0,200.0,regrama,ReGraMa,2180.9470799685437,3
0.0,200.0,shrink_and_perturb,Shrink & Perturb,2257.343651915673,3
200.0,400.0,adam,Adam,1045.643929663114,3
200.0,400.0,cbplrrN,CBP,510.6840845918859,3
200.0,400.0,cprVL,CPR,933.942436803407,2
200.0,400.0,redo,ReDo,675.9549627563516,3
200.0,400.0,regrama,ReGraMa,641.4864913405296,3
200.0,400.0,shrink_and_perturb,Shrink & Perturb,835.4285610927906,3
400.0,600.0,adam,Adam,1346.416858304254,3
400.0,600.0,cbplrrN,CBP,852.3043299987253,3
400.0,600.0,cprVL,CPR,957.9985516003335,2
400.0,600.0,redo,ReDo,1161.3544704546032,3
400.0,600.0,regrama,ReGraMa,1090.0648501660933,3
400.0,600.0,shrink_and_perturb,Shrink & Perturb,1057.2610200765055,3
600.0,800.0,adam,Adam,521.1984452954795,3
600.0,800.0,cbplrrN,CBP,929.5714346830097,3
600.0,800.0,cprVL,CPR,1436.5856361164324,2
600.0,800.0,redo,ReDo,1424.415000091133,3
600.0,800.0,regrama,ReGraMa,1159.8791071099242,3
600.0,800.0,shrink_and_perturb,Shrink & Perturb,1402.915138369537,3
800.0,1000.0,adam,Adam,154.39823047015284,3
800.0,1000.0,cbplrrN,CBP,1000.7763115886937,3
800.0,1000.0,cprVL,CPR,1342.3823746012608,2
800.0,1000.0,redo,ReDo,761.2829462175329,3
800.0,1000.0,regrama,ReGraMa,1076.4345232708185,3
800.0,1000.0,shrink_and_perturb,Shrink & Perturb,1213.34530452602,3
1000.0,1200.0,adam,Adam,180.82173929650796,3
1000.0,1200.0,cbplrrN,CBP,1154.6152377907747,3
1000.0,1200.0,cprVL,CPR,1161.8665306988885,2
1000.0,1200.0,redo,ReDo,740.814409243515,3
1000.0,1200.0,regrama,ReGraMa,1175.2554137535344,3
1000.0,1200.0,shrink_and_perturb,Shrink & Perturb,1241.7586135614931,3
